,Age,City,Current Status,Do you own multiple profiles on Instagram?,Gender,Highest Education,Location (City Airport Code),Phone OS,State,Zone,Latitude,Longitude,Total Facebook Usage,Total Instagram Usage,Total Social Media Usage,Total Week Usage,Total Weekend Usage,Total WhatsApp Usage,Followers,No of posts on Insta,Facebook Time Spent(Last Week),Instagram Time Spent(Last Week),WhatsApp Time Spent(Last Week),WhatsApp Time Spent(Last Weekend),Instagram Time Spent(Last Weekend),Facebook Time Spent(Last Weekend)
391,25,Delhi,Student,No,Male,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,92,0,0,0,0,971,102,27,1,0,173,798,286,91
392,24,Delhi,Working professional,Yes,Male,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,580,0,0,0,910,0,0,549,490,0,0,340,480,90
393,28,Delhi,Working professional,Yes,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,399,0,0,0,680,0,0,340,309,0,870,250,340,90
395,22,Pune,Student,No,Male,Graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,430,0,0,0,870,0,878,47,340,0,0,480,300,90
397,23,Surat,Student,No,Female,Post graduation,STV,Android,Gujarat,Western,21.195944,72.830232,290,270,0,975,390,805,283,15,200,150,625,180,120,90
398,57,Chennai,Working professional,No,Male,Graduation,MAA,Android,Tamil Nadu,Southern,13.084622,80.248357,330,360,0,900,270,480,100,2,240,240,420,60,120,90
399,22,Mumbai,Student,No,Male,Post graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,300,300,0,840,360,600,930,18,210,210,420,180,90,90
400,27,Bengaluru,Working professional,Yes,Female,Post graduation,BLR,iOs,Karnataka,Southern,12.977063,77.587106,270,241,931,661,270,420,350,57,180,181,300,120,60,90
401,20,Mumbai,Student,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,230,0,0,0,441,0,0,0,140,0,938,351,0,90
402,40,Surat,Working professional,No,Male,Graduation,STV,Android,Gujarat,Western,21.195944,72.830232,390,0,0,900,410,920,0,0,300,0,600,320,0,90
403,15,Delhi,Working professional,No,Male,High School,DEL,Android,Delhi,Northern,28.651952,77.231495,100,0,0,0,387,0,0,0,10,0,0,297,0,90
404,23,Bhubaneshwar,Working professional,No,Male,Graduation,BBI,Android,Odisha,Eastern,20.272411,85.833853,90,180,0,840,180,750,300,1,0,180,660,90,0,90
405,45,Jaipur,Working professional,No,Male,Graduation,JAI,Android,Rajasthan,Northern,26.913312,75.787872,170,0,340,200,140,170,0,0,80,0,120,50,0,90
406,19,Delhi,Student,Yes,Female,High School,DEL,iOs,Delhi,Northern,28.651952,77.231495,328,698,0,0,439,569,0,175,239,512,405,164,186,89
407,24,Kolkata,Student,No,Female,Post graduation,CCU,iOs,West Bengal,Eastern,22.562627,88.363044,167,229,0,990,582,0,289,35,78,123,789,387,106,89
408,56,Delhi,Sabbatical,No,Male,High School,DEL,Others,Delhi,Northern,28.651952,77.231495,589,670,0,0,219,629,56,78,500,600,569,60,70,89
409,20,Ahmedabad,Student,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,200,37,545,336,209,308,60,5,111,15,210,98,22,89
410,22,Mumbai,Working professional,Yes,Female,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,398,0,0,0,765,712,0,245,310,891,435,277,400,88
411,22,Mumbai,Student,Yes,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,283,878,0,0,461,0,511,106,195,716,914,211,162,88
412,25,Delhi,Working professional,Yes,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,207,0,0,0,887,853,0,0,120,0,623,230,570,87
413,41,Delhi,Working professional,No,Female,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,157,0,0,0,670,958,0,161,70,881,708,250,333,87
414,29,Kolkata,Sabbatical,No,Female,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,543,0,0,0,444,693,368,45,456,768,578,115,242,87
415,22,Indore,Student,Yes,Male,Graduation,IDR,Android,Madhya Pradesh,Central,22.717736,75.85859,203,708,0,0,439,0,0,342,116,552,846,196,156,87
416,22,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,352,297,854,640,214,205,822,19,265,235,140,65,62,87
417,26,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,384,645,0,0,560,0,928,167,298,453,0,282,192,86
418,23,Mumbai,Sabbatical,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,276,468,945,647,298,201,526,109,190,332,125,76,136,86
419,22,Lucknow,Student,Yes,Male,Graduation,LKO,Android,Uttar Pradesh,Northern,26.839281,80.923133,578,775,0,0,267,612,230,51,492,661,545,67,114,86
420,20,Jaipur,Student,No,Female,Graduation,JAI,Android,Rajasthan,Northern,26.913312,75.787872,230,0,0,0,0,0,436,156,145,0,0,544,980,85
421,24,Ahmedabad,Working professional,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,604,0,0,0,996,0,758,88,519,0,0,651,260,85
422,26,Mumbai,Sabbatical,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,152,910,0,0,0,0,272,9,68,568,0,589,342,84
424,27,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,83,257,780,373,407,440,330,250,0,23,350,90,234,83
425,22,Delhi,Student,Yes,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,509,0,0,0,921,0,752,42,426,0,0,659,179,83
426,25,Mumbai,Student,Yes,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,102,299,0,0,358,0,316,0,19,120,998,96,179,83
427,24,Delhi,Student,No,Female,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,83,185,0,0,330,0,916,81,0,24,0,86,161,83
428,25,Kolkata,Student,No,Male,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,514,475,0,0,760,0,301,16,431,367,0,569,108,83
429,26,Mumbai,Working professional,Yes,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,402,0,0,0,910,0,0,92,320,0,0,243,585,82
430,24,Bengaluru,Working professional,No,Female,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,722,0,0,0,801,0,975,198,640,858,0,325,394,82
431,20,Bengaluru,Working professional,No,Male,Graduation,BLR,iOs,Karnataka,Southern,12.977063,77.587106,220,0,0,0,440,879,574,94,138,0,795,84,274,82
432,19,Kolkata,Student,No,Female,High School,CCU,Android,West Bengal,Eastern,22.562627,88.363044,549,759,0,0,528,0,800,42,467,603,0,290,156,82
434,26,Mumbai,Working professional,Yes,Male,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,257,0,0,0,896,0,0,358,176,732,0,503,312,81
435,26,Pune,Working professional,No,Male,Post graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,80,970,0,850,0,0,212,9,0,250,600,0,720,80
436,21,Delhi,Student,No,Male,High School,DEL,iOs,Delhi,Northern,28.651952,77.231495,320,0,0,0,0,0,219,25,240,0,0,550,550,80
437,23,Delhi,Student,No,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,170,900,0,0,0,0,700,256,90,500,0,0,400,80
438,23,Chandigarh,Working professional,Yes,Male,Graduation,IXC,Android,Chandigarh,Northern,30.736292,76.788398,420,0,0,0,770,0,784,145,340,0,670,450,240,80
439,23,Pune,Student,No,Male,Graduation,PNQ,iOs,Maharashtra,Western,18.513271,73.849852,230,900,0,0,480,0,600,30,150,750,0,250,150,80
440,24,Kolkata,Student,No,Male,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,265,800,0,0,360,0,550,25,185,660,0,140,140,80
441,25,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,270,470,0,0,371,886,0,300,190,345,720,166,125,80
442,25,Baroda,Working professional,Yes,Male,Graduation,BDQ,Android,Gujarat,Western,22.3072,73.1812,412,634,0,989,252,195,357,35,332,522,135,60,112,80
443,24,Kolkata,Student,No,Female,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,500,700,0,0,300,540,328,43,420,600,420,120,100,80
446,25,Pune,Working professional,No,Male,Post graduation,PNQ,iOs,Maharashtra,Western,18.513271,73.849852,180,250,0,0,330,0,480,90,100,200,900,200,50,80
447,28,Kolkata,Working professional,Yes,Female,Post graduation,CCU,iOs,West Bengal,Eastern,22.562627,88.363044,95,70,265,105,160,100,420,370,15,50,40,60,20,80
448,45,Udaipur,Sabbatical,No,Female,High School,UDR,Android,Rajasthan,Northern,24.57951,73.690508,740,13,0,938,160,345,34,5,660,13,265,80,0,80
449,24,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,324,494,0,872,691,745,390,245,245,227,400,345,267,79
450,23,Bagdogra,Working professional,No,Female,Graduation,IXB,iOs,West Bengal,Eastern,26.6986,88.3117,333,588,0,836,253,168,264,47,254,459,123,45,129,79
451,40,Hyderabad,Student,No,Male,High School,HYD,Android,Telangana,Southern,17.384052,78.456355,644,0,0,0,469,0,0,0,565,0,0,390,0,79
452,23,Kolkata,Sabbatical,No,Female,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,176,832,0,918,746,656,343,66,98,453,367,289,379,78
453,22,Bengaluru,Sabbatical,No,Male,Graduation,BLR,iOs,Karnataka,Southern,12.977063,77.587106,418,0,0,0,582,630,340,56,340,895,480,150,354,78
454,25,Mumbai,Working professional,No,Male,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,400,594,0,0,598,848,587,112,322,386,536,312,208,78
455,18,Delhi,Student,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,112,326,573,220,353,135,476,85,34,129,57,78,197,78
456,32,Delhi,Working professional,No,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,145,299,646,296,350,202,865,82,67,132,97,105,167,78
457,23,Kolkata,Sabbatical,No,Male,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,356,651,0,0,620,0,765,174,278,487,0,378,164,78
458,18,Mumbai,Student,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,325,496,0,0,355,562,545,89,247,376,405,157,120,78
459,28,Indore,Working professional,No,Male,Post graduation,IDR,Android,Madhya Pradesh,Central,22.717736,75.85859,178,247,0,912,283,770,778,163,100,192,620,150,55,78
460,37,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,131,39,308,168,140,138,123,12,53,23,92,46,16,78
461,19,Kolkata,Student,No,Male,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,181,405,918,614,304,332,338,46,104,276,234,98,129,77
462,36,Bengaluru,Working professional,No,Male,Graduation,BLR,iOs,Karnataka,Southern,12.977063,77.587106,121,239,0,823,469,932,527,54,45,124,654,278,115,76
463,26,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,325,700,0,0,425,520,0,45,250,500,370,150,200,75
464,24,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,287,665,0,0,499,576,339,90,212,531,286,290,134,75
465,25,Baroda,Student,No,Male,Post graduation,BDQ,iOs,Gujarat,Western,22.3072,73.1812,273,337,0,0,399,0,0,21,198,245,0,232,92,75
466,29,Chandigarh,Working professional,No,Male,Post graduation,IXC,Android,Chandigarh,Northern,30.736292,76.788398,315,150,0,820,305,660,558,12,240,130,450,210,20,75
467,50,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,120,3,257,128,129,134,54,3,45,3,80,54,0,75
468,22,Kolkata,Student,No,Male,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,257,0,0,0,574,0,297,33,183,879,0,297,203,74
469,24,Surat,Student,No,Male,Graduation,STV,Android,Gujarat,Western,21.195944,72.830232,309,312,0,0,315,719,386,20,236,264,525,194,48,73
470,57,Ahmedabad,Working professional,No,Male,Post graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,112,0,517,317,200,405,0,0,39,0,278,127,0,73
471,28,Bengaluru,Working professional,No,Female,Graduation,BLR,iOs,Karnataka,Southern,12.977063,77.587106,252,0,0,0,384,72,297,0,180,900,60,12,300,72
472,21,Delhi,Student,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,272,953,0,0,455,534,0,206,200,800,304,230,153,72
473,21,Ahmedabad,Working professional,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,522,0,0,0,571,0,345,33,450,0,0,364,135,72
474,32,Mumbai,Working professional,No,Female,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,104,288,878,687,191,486,425,20,33,233,421,65,55,71
475,51,Delhi,Sabbatical,No,Female,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,323,0,988,760,228,665,10,0,252,0,508,157,0,71
476,22,Chandigarh,Working professional,No,Female,Graduation,IXC,iOs,Chandigarh,Northern,30.736292,76.788398,206,0,0,0,900,757,756,51,136,962,545,212,618,70
477,27,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,274,0,0,0,0,0,432,70,204,670,0,435,530,70
478,25,Delhi,Student,Yes,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,170,750,0,0,860,0,450,150,100,500,0,540,250,70
479,30,Pune,Working professional,No,Male,Post graduation,PNQ,iOs,Maharashtra,Western,18.513271,73.849852,220,990,0,0,770,0,780,60,150,790,0,500,200,70
480,28,Pune,Working professional,No,Female,Graduation,PNQ,Others,Maharashtra,Western,18.513271,73.849852,220,780,0,0,490,0,700,55,150,600,0,240,180,70
481,27,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,170,480,970,650,320,320,198,9,100,300,250,70,180,70
482,24,Delhi,Working professional,Yes,Male,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,218,594,0,0,497,0,413,49,148,434,768,267,160,70
483,18,Chandigarh,Student,No,Female,High School,IXC,iOs,Chandigarh,Northern,30.736292,76.788398,220,480,0,0,385,725,890,78,150,340,550,175,140,70
484,33,Hyderabad,Working professional,No,Male,Post graduation,HYD,Android,Telangana,Southern,17.384052,78.456355,155,200,705,375,330,350,489,105,85,60,230,120,140,70
485,25,Chandigarh,Working professional,No,Male,Graduation,IXC,iOs,Chandigarh,Northern,30.736292,76.788398,334,604,0,0,322,578,484,183,264,484,446,132,120,70
486,22,Baroda,Student,No,Male,Post graduation,BDQ,Android,Gujarat,Western,22.3072,73.1812,238,358,0,0,368,857,188,150,168,260,657,200,98,70
487,25,Pune,Student,No,Female,Graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,190,360,840,620,220,290,0,266,120,300,200,90,60,70
488,34,Pune,Working professional,No,Male,Post graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,170,59,439,269,170,210,166,35,100,39,130,80,20,70
489,21,Bhubaneshwar,Student,No,Male,Graduation,BBI,Android,Odisha,Eastern,20.272411,85.833853,85,60,565,415,150,420,400,20,15,50,350,70,10,70
490,53,DehraDun,Working professional,No,Male,Post graduation,DED,iOs,Uttarakhand,Northern,30.324427,78.033922,340,0,0,0,530,0,0,0,270,0,900,460,0,70
491,59,Ahmedabad,Working professional,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,470,0,670,550,120,200,0,0,400,0,150,50,0,70
492,22,Mumbai,Student,Yes,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,251,0,0,0,687,993,0,76,182,0,798,195,423,69
493,27,Delhi,Student,No,Male,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,223,0,0,0,792,249,193,123,155,966,194,55,669,68
494,22,Delhi,Sabbatical,Yes,Female,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,118,0,0,0,782,0,0,0,50,0,780,354,360,68
495,26,Lucknow,Working professional,Yes,Female,Graduation,LKO,Android,Uttar Pradesh,Northern,26.839281,80.923133,212,686,0,0,496,869,0,587,144,488,639,230,198,68
496,26,Delhi,Student,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,180,817,0,0,909,0,523,115,112,623,0,647,194,68
497,28,Kolkata,Working professional,No,Male,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,160,347,0,915,395,803,226,2,92,213,610,193,134,68
498,22,Baroda,Working professional,No,Male,Graduation,BDQ,Android,Gujarat,Western,22.3072,73.1812,233,265,0,0,285,835,123,80,165,206,677,158,59,68
499,24,Udaipur,Student,Yes,Male,Post graduation,UDR,Android,Rajasthan,Northern,24.57951,73.690508,102,60,0,0,311,0,916,500,34,14,0,197,46,68
500,27,Lucknow,Working professional,No,Male,Graduation,LKO,iOs,Uttar Pradesh,Northern,26.839281,80.923133,208,277,0,0,591,0,179,3,141,234,0,481,43,67
501,27,Lucknow,Working professional,No,Male,Graduation,LKO,iOs,Uttar Pradesh,Northern,26.839281,80.923133,208,277,0,0,591,0,179,3,141,234,0,481,43,67
502,27,Mumbai,Working professional,No,Male,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,248,480,0,0,381,0,807,107,182,371,870,206,109,66
503,24,Chennai,Working professional,No,Male,Graduation,MAA,Android,Tamil Nadu,Southern,13.084622,80.248357,193,384,0,0,458,0,368,257,127,296,745,304,88,66
504,23,Delhi,Working professional,No,Female,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,106,301,0,796,943,0,338,404,40,256,500,832,45,66
505,21,Mumbai,Working professional,Yes,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,337,35,0,0,251,899,454,20,271,0,749,150,35,66
507,28,Kolkata,Working professional,No,Male,Graduation,CCU,iOs,West Bengal,Eastern,22.562627,88.363044,135,124,709,360,349,450,653,106,70,90,200,250,34,65
508,36,Delhi,Sabbatical,No,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,230,0,573,419,154,343,0,0,165,0,254,89,0,65
509,28,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,280,610,0,0,614,977,247,40,216,405,632,345,205,64
510,21,Mumbai,Student,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,606,775,0,0,330,0,65,191,542,654,991,145,121,64
511,28,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,139,111,0,807,366,923,68,0,75,65,667,256,46,64
512,28,Mumbai,Working professional,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,142,938,0,0,532,0,0,108,79,643,985,174,295,63
513,40,Delhi,Working professional,No,Male,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,162,0,0,0,772,859,550,145,100,700,500,359,351,62
514,25,Delhi,Working professional,No,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,124,614,0,0,538,0,277,102,62,406,804,268,208,62
515,22,Bagdogra,Student,No,Male,Graduation,IXB,Android,West Bengal,Eastern,26.6986,88.3117,291,90,0,0,330,0,303,10,229,73,915,251,17,62
516,46,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,282,40,691,543,148,369,56,12,220,28,295,74,12,62
517,30,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,466,146,0,734,806,928,177,75,405,93,236,692,53,61
518,24,Chandigarh,Student,Yes,Female,Graduation,IXC,Android,Chandigarh,Northern,30.736292,76.788398,180,0,0,0,0,0,600,10,120,0,0,0,0,60
519,24,DehraDun,Working professional,No,Male,Graduation,DED,Android,Uttarakhand,Northern,30.324427,78.033922,180,0,0,0,0,0,724,11,120,0,0,720,0,60
520,24,Bengaluru,Working professional,No,Female,Post graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,160,0,0,0,0,0,367,194,100,982,725,600,0,60
521,24,Bengaluru,Working professional,No,Female,Post graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,160,0,0,0,0,0,367,194,100,982,725,600,0,60
522,23,Mumbai,Sabbatical,Yes,Female,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,120,0,0,0,0,0,0,150,60,750,0,500,950,60
523,24,Pune,Working professional,Yes,Female,Graduation,PNQ,iOs,Maharashtra,Western,18.513271,73.849852,180,0,0,0,0,0,0,560,120,0,0,340,890,60
524,18,Kolkata,Student,No,Female,High School,CCU,Android,West Bengal,Eastern,22.562627,88.363044,150,0,0,0,0,0,302,6,90,630,0,600,550,60
525,20,Udaipur,Student,No,Female,Graduation,UDR,Android,Rajasthan,Northern,24.57951,73.690508,165,0,0,0,0,0,600,80,105,0,0,0,500,60
526,28,Chandigarh,Working professional,No,Female,Graduation,IXC,iOs,Chandigarh,Northern,30.736292,76.788398,135,0,0,0,0,0,245,23,75,0,0,0,500,60
528,22,Jaipur,Student,No,Male,Graduation,JAI,Android,Rajasthan,Northern,26.913312,75.787872,160,0,0,0,0,0,594,41,100,700,0,600,400,60
529,22,Ranchi,Student,Yes,Female,Post graduation,IXR,iOs,Jharkhand,Eastern,23.347768,85.338564,180,0,0,0,660,0,0,91,120,700,0,200,400,60
531,21,Jaipur,Student,No,Male,Graduation,JAI,Android,Rajasthan,Northern,26.913312,75.787872,160,0,0,0,720,0,461,88,100,960,0,360,300,60
532,29,Mumbai,Working professional,No,Female,Post graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,300,0,0,0,660,0,110,1,240,0,0,300,300,60
533,52,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,160,800,0,0,660,700,85,4,100,500,400,300,300,60
534,27,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,300,0,0,0,540,0,978,186,240,0,0,180,300,60
535,25,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,240,640,0,780,580,480,365,12,180,360,240,240,280,60
536,35,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,160,650,0,0,610,800,300,50,100,400,500,300,250,60
537,18,Delhi,Sabbatical,No,Male,High School,DEL,Android,Delhi,Northern,28.651952,77.231495,90,0,0,0,410,500,101,6,30,900,400,100,250,60
538,22,Mumbai,Student,Yes,Female,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,379,0,0,0,0,0,912,139,319,0,0,725,249,60
540,26,Delhi,Student,No,Male,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,180,720,0,0,720,0,98,5,120,480,840,420,240,60
541,24,Kolkata,Working professional,No,Male,Post graduation,Ccu,Android,West Bengal,Eastern,22.562627,88.363044,0,0,0,0,480,184,500,200,0,0,4,180,240,60
542,20,Ahmedabad,Student,No,Female,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,270,660,0,0,420,960,180,0,210,420,840,120,240,60
543,24,Lucknow,Student,No,Male,Post graduation,LKO,Android,Uttar Pradesh,Northern,26.839281,80.923133,120,0,0,0,420,720,700,20,60,800,600,120,240,60
544,24,Delhi,Student,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,120,0,0,0,420,720,700,20,60,800,600,120,240,60
545,26,Bengaluru,Sabbatical,No,Male,Post graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,360,830,0,0,575,0,120,35,300,615,720,300,215,60
546,21,Kolkata,Student,No,Female,Post graduation,Ccu,Android,West Bengal,Eastern,22.562627,88.363044,0,0,0,0,480,0,600,120,0,0,0,240,180,60
547,23,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,120,420,0,0,480,990,686,149,60,240,750,240,180,60
548,22,Indore,Student,No,Female,Graduation,IDR,Android,Madhya Pradesh,Central,22.717736,75.85859,300,505,0,0,406,0,5,0,240,325,876,166,180,60
549,24,Ahmedabad,Sabbatical,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,270,597,0,0,334,580,386,18,210,423,480,100,174,60
550,25,Kolkata,Student,Yes,Female,Graduation,CCU,iOs,West Bengal,Eastern,22.562627,88.363044,510,580,0,0,340,0,460,33,450,420,0,120,160,60
551,22,Jaipur,Working professional,No,Male,Graduation,JAI,Android,Rajasthan,Northern,26.913312,75.787872,240,510,0,0,810,0,177,6,180,360,0,600,150,60
552,22,Mumbai,Student,No,Female,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,90,320,0,680,680,950,365,254,30,200,450,500,120,60
553,30,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,270,540,0,0,420,0,0,113,210,420,840,240,120,60
554,22,Hyderabad,Sabbatical,No,Female,Graduation,HYD,Android,Telangana,Southern,17.384052,78.456355,130,320,710,440,270,260,198,36,70,200,170,90,120,60
555,25,Pune,Working professional,No,Male,Graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,180,420,780,540,240,180,650,151,120,300,120,60,120,60
556,22,Delhi,Student,Yes,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,120,0,0,0,240,0,500,120,60,0,0,60,120,60
557,24,Vishakhapatnam,Working professional,No,Male,Graduation,VTZ,iOs,Andhra Pradesh,Southern,17.704052,83.297663,120,400,760,520,240,240,213,55,60,280,180,60,120,60
558,24,Chennai,Student,Yes,Female,Post graduation,MAA,Android,Tamil Nadu,Southern,13.084622,80.248357,120,600,0,0,0,0,0,150,60,500,0,900,100,60
559,24,Mumbai,Working professional,Yes,Male,Post graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,460,700,0,0,560,0,900,70,400,600,0,400,100,60
560,47,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,420,300,0,0,520,0,13,1,360,200,750,360,100,60
561,24,Ranchi,Working professional,Yes,Female,Graduation,IXR,iOs,Jharkhand,Eastern,23.347768,85.338564,189,414,0,899,283,579,540,98,129,320,450,129,94,60
562,30,Mumbai,Working professional,Yes,Male,Post graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,140,780,0,0,840,0,0,258,80,700,0,700,80,60
563,22,Ranchi,Student,No,Female,Graduation,IXR,iOs,Jharkhand,Eastern,23.347768,85.338564,410,0,0,0,340,0,0,140,350,950,0,200,80,60
564,22,Mumbai,Student,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,270,900,0,0,415,715,550,15,210,840,420,295,60,60
565,38,Delhi,Sabbatical,No,Female,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,480,480,0,0,600,0,115,27,420,420,0,480,60,60
566,25,Chandigarh,Working professional,Yes,Female,Post graduation,IXC,iOs,Chandigarh,Northern,30.736292,76.788398,180,420,0,960,360,720,0,650,120,360,480,240,60,60
567,30,Pune,Working professional,Yes,Male,Post graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,120,120,0,0,360,0,250,24,60,60,0,240,60,60
568,26,Pune,Student,Yes,Male,Post graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,120,120,620,320,300,380,0,118,60,60,200,180,60,60
569,23,Kolkata,Student,Yes,Female,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,480,480,0,0,240,960,450,32,420,420,840,120,60,60
570,13,Kolkata,Student,No,Female,High School,CCU,iOs,West Bengal,Eastern,22.562627,88.363044,270,270,0,0,240,0,0,345,210,210,0,120,60,60
571,24,Patna,Student,No,Female,Graduation,PAT,Android,Bihar,Eastern,25.615379,85.101027,60,310,790,550,240,420,247,355,0,250,300,120,60,60
